model_name,scan_name,mean_ssim,mean_mse,mean_psnr,mean_mae,mean_pred_avg_intensity,mean_pred_rms_intensity,sample_avg_ssim,sample_avg_psnr,sample_avg_mse,sample_avg_mae,sample_avg_intensity,sample_rms_intensity,mean_std,rmv,ause,spearman_corr_uncert_err,pearson_corr_uncert_err,mpiw_95
BBB (50),p24_02,0.8768067359924316,0.0016021119663491845,27.953071357746264,0.022616710513830185,0.09335539489984512,0.17513659596443176,0.8728921365737915,27.819266336254046,0.0016522443690337241,0.022980459369719028,0.09335539191961288,0.17527967661619187,0.0050762491300702095,0.007080430164933205,0.11471375286760191,0.6709398031234741,0.6064440011978149,0.019898519
BBB (50),p24_03,0.8106071352958679,0.0043727317824959755,23.592471608793375,0.03754217177629471,0.09533759206533432,0.16853773593902588,0.8059730565547943,23.512142462975998,0.004454366723075509,0.03790068820118904,0.09533759966492653,0.16877975404262544,0.006261368282139301,0.00903522502630949,0.11155041556013937,0.7251453399658203,0.5981562733650208,0.024544096
BBB (50),p24_04,0.8155595064163208,0.005197026766836643,22.84245046375232,0.03875140845775604,0.09615043550729752,0.1730186939239502,0.8114168071746826,22.781460904737607,0.005270528960973024,0.03908427476882934,0.09615043699741363,0.17323098659515382,0.005903387907892466,0.008573361672461033,0.10666853396934979,0.7214441895484924,0.5617064833641052,0.023140889
BBB (50),p24_05,0.8971531987190247,0.001410051016137004,28.50765174134707,0.02089078724384308,0.09008528292179108,0.17142678797245026,0.8939328610897064,28.388547812453112,0.0014492583787068724,0.021205782778561114,0.09008528411388397,0.17154110163450242,0.004496037028729916,0.006261585280299187,0.1202217032524144,0.6938576102256775,0.6206443905830383,0.017624121
BBB (50),p25_01,0.852087140083313,0.0016127116978168488,27.924432638808636,0.02489389106631279,0.14693132042884827,0.24674558639526367,0.8491443884372711,27.804230257580844,0.0016579718748107554,0.025237227007746697,0.14693133026361466,0.24683729380369188,0.005037516355514526,0.006727579515427351,0.1652187537015021,0.6845088005065918,0.5421621799468994,0.019746697
BBB (50),p25_02,0.8852019309997559,0.0012810428161174059,28.924363546481498,0.02164992317557335,0.1368529349565506,0.22486701607704163,0.8821910178661346,28.77535675793449,0.0013257591193541883,0.02200084738433361,0.13685293048620223,0.22496643126010896,0.004831538535654545,0.0066870334558188915,0.1444330958408368,0.7055731415748596,0.5953471660614014,0.018939285
BBB (50),p25_03,0.8679567575454712,0.0014672445831820369,28.334974851529424,0.02335476689040661,0.13905176520347595,0.2285601794719696,0.8642508912086487,28.163970932085657,0.0015261722123250366,0.023770867884159087,0.1390517657995224,0.22868906527757646,0.005543765611946583,0.007676434703171253,0.14196147209140877,0.7185217142105103,0.600092351436615,0.021731215
BBB (50),p25_04,0.8329231142997742,0.0027444143779575825,25.61550314075519,0.03099643811583519,0.13543252646923065,0.21980859339237213,0.8295491814613343,25.513530504189426,0.0028096192236989736,0.031336094811558725,0.1354325270652771,0.219956873357296,0.005759091582149267,0.00807496253401041,0.08568835909021202,0.7555530667304993,0.6091788411140442,0.022575224
BBB (50),p26_01,0.7975729703903198,0.003362201154232025,24.733763070894003,0.03472254425287247,0.14603039622306824,0.23493564128875732,0.7946553766727448,24.65227008080425,0.0034258894575759768,0.035026232227683064,0.14603040665388106,0.23507115244865417,0.005683394148945808,0.007980507798492908,0.12365638311087004,0.7383891940116882,0.591303288936615,0.022278553
BBB (50),p27_01,0.9050504565238953,0.0008881947142072022,30.514918157125283,0.01785382069647312,0.10184552520513535,0.19159960746765137,0.9018439662456512,30.345823431351945,0.0009234599827323108,0.01817132417112589,0.1018455322086811,0.191691614985466,0.004268155433237553,0.005938463378697634,0.11378170317318312,0.6300114989280701,0.6163297891616821,0.016730826
BBB (50),p28_01,0.7316857576370239,0.0034505173098295927,24.621157895752933,0.04032770171761513,0.20604416728019714,0.27873843908309937,0.7286080884933471,24.524445228923224,0.0035282199457287787,0.04072039775550365,0.20604418486356735,0.278877809047699,0.007001177407801151,0.008814909495413303,0.24397729778045366,0.5385556817054749,0.4836602210998535,0.027444076
BBB (50),p28_02,0.8827468752861023,0.0016325507313013077,27.871333141987453,0.02532079443335533,0.20287303626537323,0.27594873309135437,0.8794236612319947,27.72618765034119,0.0016880365461111068,0.025740832425653934,0.20287304550409316,0.2760492414236069,0.00576943950727582,0.007448888383805752,0.16690445035833384,0.6251017451286316,0.5640764236450195,0.02261578
BBB (50),p29_01,0.8705793619155884,0.0020002720411866903,26.989109353601112,0.02781979739665985,0.20227372646331787,0.2737712860107422,0.8675543522834778,26.862143664867627,0.0020596154406666758,0.02820470042526722,0.202273730635643,0.2738796257972717,0.005900975316762924,0.007703459821641445,0.1542785788314391,0.6979120969772339,0.6059603691101074,0.02313135
BBB (50),p29_02,0.863487720489502,0.002201642142608762,26.572532703417163,0.028804099187254906,0.2057795524597168,0.27677157521247864,0.8602313923835755,26.447985522740638,0.0022656970983371137,0.029215092398226263,0.20577954590320588,0.2768872743844986,0.006157916970551014,0.008003441616892815,0.15643516967354182,0.6925399303436279,0.5949612855911255,0.024138603
BBB (50),p30_01,0.8647276163101196,0.0017232367536053061,27.636550512108137,0.024523595348000526,0.12156037241220474,0.21040406823158264,0.8615917348861695,27.51204655876062,0.001773354832548648,0.024837030321359633,0.12156036674976349,0.21052313297986985,0.00496689835563302,0.007079415488988161,0.12316982459544216,0.6974098682403564,0.6180488467216492,0.019469889
BBB (50),p30_02,0.8839796185493469,0.0012276617344468832,29.109212806707266,0.021192144602537155,0.12211127579212189,0.21249283850193024,0.8809080529212951,28.962094302435876,0.0012699629319831728,0.021515526287257673,0.12211127012968064,0.21259235560894013,0.004656899720430374,0.00650393683463335,0.15107466724279,0.6589148640632629,0.606107234954834,0.018254684
BBB (50),p30_03,0.8584430813789368,0.0018928318750113249,27.228879591991486,0.02489568665623665,0.11993032693862915,0.20888161659240723,0.8547840511798859,27.09958882293989,0.0019500303920358419,0.02525322813540697,0.1199303337931633,0.2090184885263443,0.005288671236485243,0.007562969345599413,0.13658969206540084,0.6715224385261536,0.5942570567131042,0.020731227
