model_name,scan_name,mean_ssim,mean_mse,mean_psnr,mean_mae,mean_pred_avg_intensity,mean_pred_rms_intensity,sample_avg_ssim,sample_avg_psnr,sample_avg_mse,sample_avg_mae,sample_avg_intensity,sample_rms_intensity,mean_std,rmv,ause,spearman_corr_uncert_err,pearson_corr_uncert_err,mpiw_95
0%,p08_01,0.9418694376945496,0.00046483342885039747,33.32702646875866,0.011744586750864983,0.10985994338989258,0.2131580412387848,0.9418694376945496,33.32702646875866,0.00046483342885039747,0.011744586750864983,0.10985994338989258,0.2131580412387848,0.0,0.0,0.6389426502302753,-0.010750076733529568,0.0,0.0
0%,p08_02,0.9555917978286743,0.0002910512266680598,35.36030565992407,0.010390648618340492,0.10894697904586792,0.2118222862482071,0.9555917978286743,35.36030565992407,0.0002910512266680598,0.010390648618340492,0.10894697904586792,0.2118222862482071,0.0,0.0,0.6478378303996487,-0.00339516787789762,0.0,0.0
0%,p08_04,0.955902099609375,0.0002830512821674347,35.48134873505122,0.010117782279849052,0.10864067077636719,0.2123602330684662,0.955902099609375,35.48134873505122,0.0002830512821674347,0.010117782279849052,0.10864067077636719,0.2123602330684662,0.0,0.0,0.664206030533785,0.004124440252780914,0.0,0.0
0%,p08_05,0.9629224538803101,0.0002651736431289464,35.76469644718653,0.00955919735133648,0.10781959444284439,0.2105851173400879,0.9629224538803101,35.76469644718653,0.0002651736431289464,0.00955919735133648,0.10781959444284439,0.2105851173400879,0.0,0.0,0.6231207551878521,-0.017941109836101532,0.0,0.0
0%,p09_01,0.9636086225509644,0.00030825374415144324,35.11091639616461,0.010141514241695404,0.1601816862821579,0.24742524325847626,0.9636086225509644,35.11091639616461,0.00030825374415144324,0.010141514241695404,0.1601816862821579,0.24742524325847626,0.0,0.0,0.7210879254879057,0.04479968175292015,0.0,0.0
0%,p09_02,0.96296226978302,0.0002665220818016678,35.742668031202236,0.009615929797291756,0.16306187212467194,0.24961240589618683,0.96296226978302,35.742668031202236,0.0002665220818016678,0.009615929797291756,0.16306187212467194,0.24961240589618683,0.0,0.0,0.7920281342714128,0.08921173959970474,0.0,0.0
15%,p08_01,0.9439821243286133,0.0004547526186797768,33.42224791385089,0.011408287100493908,0.11001238971948624,0.21323485672473907,0.9439821243286133,33.42224791385089,0.0004547526186797768,0.011408287100493908,0.11001238971948624,0.21323485672473907,0.0,0.0,0.6383293742889943,-0.009981842711567879,0.0,0.0
15%,p08_02,0.9575487375259399,0.0002704464423004538,35.67918727290669,0.010075433179736137,0.1089153066277504,0.2119373083114624,0.9575487375259399,35.67918727290669,0.0002704464423004538,0.010075433179736137,0.1089153066277504,0.2119373083114624,0.0,0.0,0.6487396892047476,-0.0034514369908720255,0.0,0.0
15%,p08_04,0.9587904214859009,0.00025894196005538106,35.86797568939539,0.009714928455650806,0.10857212543487549,0.21237394213676453,0.9587904214859009,35.86797568939539,0.00025894196005538106,0.009714928455650806,0.10857212543487549,0.21237394213676453,0.0,0.0,0.652383545533852,0.003633819054812193,0.0,0.0
15%,p08_05,0.9654607772827148,0.000235212646657601,36.28539331295074,0.009102161042392254,0.10780130326747894,0.21070773899555206,0.9654607772827148,36.28539331295074,0.000235212646657601,0.009102161042392254,0.10780130326747894,0.21070773899555206,0.0,0.0,0.6037630371592604,-0.020333213731646538,0.0,0.0
15%,p09_01,0.9672337770462036,0.00026485678972676396,35.769888892450126,0.009459229186177254,0.15999558568000793,0.24750228226184845,0.9672337770462036,35.769888892450126,0.00026485678972676396,0.009459229186177254,0.15999558568000793,0.24750228226184845,0.0,0.0,0.7202335121789406,0.04838578775525093,0.0,0.0
15%,p09_02,0.9647544026374817,0.00024428917095065117,36.120957843594084,0.009303895756602287,0.16305190324783325,0.24975170195102692,0.9647544026374817,36.120957843594084,0.00024428917095065117,0.009303895756602287,0.16305190324783325,0.24975170195102692,0.0,0.0,0.7855800487227915,0.08964474499225616,0.0,0.0
30%,p08_01,0.9432466626167297,0.00046847452176734805,33.29314023467202,0.011552693322300911,0.11005537211894989,0.21332699060440063,0.9432466626167297,33.29314023467202,0.00046847452176734805,0.011552693322300911,0.11005537211894989,0.21332699060440063,0.0,0.0,0.6384223225396679,-0.009706730023026466,0.0,0.0
30%,p08_02,0.9575956463813782,0.0002697492018342018,35.69039831684957,0.010082957334816456,0.10899297147989273,0.21196097135543823,0.9575956463813782,35.69039831684957,0.0002697492018342018,0.010082957334816456,0.10899297147989273,0.21196097135543823,0.0,0.0,0.6460924091803208,-0.005927583202719688,0.0,0.0
30%,p08_04,0.9580516815185547,0.00026374199660494924,35.78820710397737,0.00979943759739399,0.10861364752054214,0.21239326894283295,0.9580516815185547,35.78820710397737,0.00026374199660494924,0.00979943759739399,0.10861364752054214,0.21239326894283295,0.0,0.0,0.6538813772798311,0.0024535481352359056,0.0,0.0
30%,p08_05,0.9646440744400024,0.000245082686888054,36.106873670610774,0.009247826412320137,0.10788287222385406,0.21084466576576233,0.9646440744400024,36.106873670610774,0.000245082686888054,0.009247826412320137,0.10788287222385406,0.21084466576576233,0.0,0.0,0.6143912668731577,-0.018371807411313057,0.0,0.0
30%,p09_01,0.9669047594070435,0.0002642726176418364,35.77947833550546,0.009464715607464314,0.16021108627319336,0.2475130558013916,0.9669047594070435,35.77947833550546,0.0002642726176418364,0.009464715607464314,0.16021108627319336,0.2475130558013916,0.0,0.0,0.7151575671923706,0.04652447998523712,0.0,0.0
30%,p09_02,0.9647703170776367,0.0002443284320179373,36.12025992093189,0.009246770292520523,0.16311563551425934,0.24969016015529633,0.9647703170776367,36.12025992093189,0.0002443284320179373,0.009246770292520523,0.16311563551425934,0.24969016015529633,0.0,0.0,0.7828096058608568,0.08881939202547073,0.0,0.0
