model_name,scan_name,ece_weighted_abs_10bins_platt,ece_weighted_sq_10bins_platt,ece_unweighted_abs_10bins_platt,ece_unweighted_sq_10bins_platt,ece_weighted_abs_20bins_platt,ece_weighted_sq_20bins_platt,ece_unweighted_abs_20bins_platt,ece_unweighted_sq_20bins_platt,ece_weighted_abs_50bins_platt,ece_weighted_sq_50bins_platt,ece_unweighted_abs_50bins_platt,ece_unweighted_sq_50bins_platt,ence_10bins_platt,ence_20bins_platt,ence_50bins_platt,nll_platt,mpiw_68_platt,mpiw_95_platt,ece_weighted_abs_10bins_iso,ece_weighted_sq_10bins_iso,ece_unweighted_abs_10bins_iso,ece_unweighted_sq_10bins_iso,ece_weighted_abs_20bins_iso,ece_weighted_sq_20bins_iso,ece_unweighted_abs_20bins_iso,ece_unweighted_sq_20bins_iso,ece_weighted_abs_50bins_iso,ece_weighted_sq_50bins_iso,ece_unweighted_abs_50bins_iso,ece_unweighted_sq_50bins_iso,ence_10bins_iso,ence_20bins_iso,ence_50bins_iso,nll_iso,mpiw_68_iso,mpiw_95_iso
MC Dropoout 30% (50),p08_01,0.031176691173389608,0.0012993110400084666,0.029242955048878982,0.001209903301712539,0.033211789060479606,0.0014293508546390076,0.033227780304457014,0.0014401687999090773,0.0348679879359178,0.001526789722465466,0.03591818223680769,0.0015776870158874673,0.35364546032787286,0.3742721293554429,0.3833326538552319,-2.0870948,0.030871436,0.06084413,0.02994870245233037,0.0016432864576202341,0.024574877685970747,0.00115994905040078,0.0291374497964173,0.0013809122348993346,0.02660160930533157,0.001151699963024076,0.028598593959307306,0.0012867336293136125,0.027741445891711177,0.0011852310118882848,0.12449569406070575,0.11691561634558367,0.10922515384302929,-2.723670788577771,0.034273650831983415,0.06754948840324089
MC Dropoout 30% (50),p10_01,0.044256287418649606,0.003067733370041503,0.04072014437781439,0.0026945937411267636,0.04810186131632424,0.003435267994420389,0.04769430053861518,0.0033030072893938944,0.05047441627563859,0.0035897558451889115,0.051614856097162966,0.003601347051620151,0.4430228305295881,0.4184263815693969,0.4224106829353977,-1.7845532,0.024829932,0.048936997,0.011698121892165231,0.00030974855905939306,0.011612783273061103,0.000331708670285073,0.014597599119064579,0.0004669107931712325,0.014664270689612933,0.00048133645196183185,0.01607146661386238,0.0005267664409323408,0.01647044932112401,0.0005419257202097766,0.1950393906310009,0.2129274713929854,0.186625866748506,-2.581595041417742,0.030094795945613855,0.05931343817709368
MC Dropoout 30% (50),p14_01,0.018559029893670528,0.0005072461401930067,0.018200443585713703,0.0005212242589261843,0.020815548444758872,0.0006199996972082741,0.021316780291105574,0.000654721763134378,0.022277117489802843,0.0006862632804388864,0.02301696409497942,0.0007177438988791263,0.41735125463491396,0.4312525654891994,0.4301880543903387,-2.9111812,0.020836195,0.04106582,0.03384807862437425,0.0016172224960965466,0.031303807629479305,0.0015173238592672436,0.03499136425085423,0.0016602912666691225,0.03357678927873311,0.0016016886338378923,0.03538792636457653,0.0016756553962853442,0.03486899284440646,0.0016526834983731477,0.20275402986834218,0.20622226752085862,0.19917680981867875,-3.1341995579004203,0.026755899902336584,0.05273285180592967
MC Dropoout 30% (50),p14_02,0.02465345357847488,0.000855892937373321,0.02290529568990072,0.0007901741528050729,0.026093399750786603,0.0009149777678731921,0.02589909622543738,0.0009090731146259035,0.027211402889340597,0.0009610975329955847,0.027679331458344753,0.0009754679505592599,0.20768751053461054,0.2027697438402032,0.2115664086394254,-2.7533667,0.02385943,0.04702433,0.03743388885511233,0.002091009256874822,0.033042586644490564,0.001768830668662522,0.0382957917093581,0.0019985740903559817,0.03603577431879545,0.0018507270785998737,0.03812267641945024,0.0019605763654688695,0.03732027991937133,0.0019052553597379118,0.12285432487628412,0.12662240579486783,0.12956712381088223,-2.9977026638437434,0.029395256140589594,0.0579347243605021
MC Dropoout 30% (50),p15_01,0.03298303977672396,0.001458111172820393,0.030986655553181957,0.0013632296129326826,0.03514378360053899,0.001599215806383845,0.03519037648251182,0.0016084517563126875,0.0368294555727462,0.001688022706124633,0.03777936635698591,0.001731903800113179,0.3617010142619662,0.3411257853403785,0.3502869629556761,-2.237561,0.024681984,0.048645288,0.02782407274005847,0.0011246508268380458,0.02429702228969998,0.0009439938042436118,0.027413220179334986,0.0011297570613243775,0.025850678745069,0.0010255036037667652,0.02739394211251479,0.0011060315079582132,0.027016973699842187,0.0010677172379411897,0.08125023794229322,0.0964378370138191,0.09627294158646357,-2.8558150810421035,0.029875492387441933,0.058881215673802736
MC Dropoout 30% (50),p20_01,0.028102763452293456,0.0012186250748509998,0.027055391470591217,0.0011914530316003637,0.03130918609893566,0.0014216857731809026,0.03181548037027058,0.0014592790463925046,0.0332659271155231,0.0015342353586724994,0.034325910616894155,0.0015859716751057305,0.3575230710138812,0.3804628767197505,0.37410551437012024,-2.3083785,0.027112871,0.05343636,0.01807173238391019,0.0004923209313702963,0.016381008095211452,0.00043728658658279617,0.01877238933481138,0.0005172761414909656,0.018184511975238193,0.0004928320906239443,0.019439066697965676,0.0005261407627517333,0.019386094609085393,0.0005195579835698356,0.12313651877282417,0.12330516367998726,0.11635717020903762,-2.7539832285068777,0.03220069553374415,0.063463928024357
