model_name,scan_name,mean_ssim,mean_mse,mean_psnr,mean_mae,mean_pred_avg_intensity,mean_pred_rms_intensity,sample_avg_ssim,sample_avg_psnr,sample_avg_mse,sample_avg_mae,sample_avg_intensity,sample_rms_intensity,mean_std,rmv,ause,spearman_corr_uncert_err,pearson_corr_uncert_err,mpiw_95
Ensemble (10),p31_03,0.9092687368392944,0.0007974701002240181,30.98285591093536,0.01681256853044033,0.11350824683904648,0.20617306232452393,0.8899513840675354,29.82894301627715,0.001090063195442781,0.019058186560869217,0.11350825205445289,0.20686730593442917,0.011494996026158333,0.017105355858802795,0.12237375153136656,0.7021368145942688,0.5562871098518372,0.04505963
Ensemble (10),p31_04,0.9120284914970398,0.0007533671450801194,31.229933236357216,0.01651824079453945,0.1133483424782753,0.2055627405643463,0.895706033706665,30.202947776093133,0.0009706941898912191,0.018389127776026727,0.11334834098815919,0.20608646869659425,0.010097697377204895,0.014742017723619938,0.12725009412313215,0.6941607594490051,0.5678848624229431,0.039582238
Ensemble (10),p31_05,0.9064962267875671,0.000801265356130898,30.962236342044758,0.0170220285654068,0.11360959708690643,0.2064930945634842,0.8854825317859649,29.785661958713796,0.0011046284227631987,0.01939107421785593,0.11360959261655808,0.20721188336610794,0.01196150854229927,0.017417320981621742,0.1296661594977882,0.6951196193695068,0.5598277449607849,0.046888255
Auxiliary (01),p08_01,0.8106998205184937,0.0033374554477632046,24.76584523056504,0.033971190452575684,0.14005663990974426,0.23008938133716583,0.8106998205184937,24.76584523056504,0.0033374554477632046,0.033971190452575684,0.14005663990974426,0.23008938133716583,0.013254744000732899,0.016384415328502655,0.14644549328273504,0.7051679491996765,0.5010222792625427,0.051957734
Auxiliary (01),p10_01,0.8588676452636719,0.001409060088917613,28.510704861462138,0.02366410754621029,0.1670224368572235,0.27642470598220825,0.8588676452636719,28.510704861462138,0.001409060088917613,0.02366410754621029,0.1670224368572235,0.27642470598220825,0.014001849107444286,0.016879666596651077,0.1839433874383141,0.6680611968040466,0.4965713620185852,0.054886274
Auxiliary (01),p14_01,0.911404013633728,0.0007139136432670057,31.463543183650383,0.01635495387017727,0.103523850440979,0.19878192245960236,0.911404013633728,31.463543183650383,0.0007139136432670057,0.01635495387017727,0.103523850440979,0.19878192245960236,0.009317767806351185,0.011557155288755894,0.15221111685503785,0.6071420907974243,0.4961857497692108,0.036525033
Auxiliary (01),p14_02,0.8992519378662109,0.0007554474286735058,31.217957526769087,0.017272349447011948,0.10917355865240097,0.20436249673366547,0.8992519378662109,31.217957526769087,0.0007554474286735058,0.017272349447011948,0.10917355865240097,0.20436249673366547,0.009572459384799004,0.011875728145241737,0.17882090575186407,0.6293449997901917,0.46945080161094666,0.03752335
Auxiliary (01),p15_01,0.8735376596450806,0.0011731849517673254,29.306335162730797,0.020586375147104263,0.12983478605747223,0.22407858073711395,0.8735376596450806,29.306335162730797,0.0011731849517673254,0.020586375147104263,0.12983478605747223,0.22407858073711395,0.011123759672045708,0.013742760755121708,0.22015061125757418,0.6666383147239685,0.4585397243499756,0.04360442
Auxiliary (01),p20_01,0.8628078699111938,0.0013138707727193832,28.81447348212158,0.022677283734083176,0.13316099345684052,0.22776421904563904,0.8628078699111938,28.81447348212158,0.0013138707727193832,0.022677283734083176,0.13316099345684052,0.22776421904563904,0.012163659557700157,0.014804000966250896,0.17373411470119735,0.6556107401847839,0.5091245174407959,0.047680687
Auxiliary (01),p24_01,0.8633548021316528,0.0017037296202033758,27.68599326101453,0.02311309613287449,0.09327908605337143,0.17773331701755524,0.8633548021316528,27.68599326101453,0.0017037296202033758,0.02311309613287449,0.09327908605337143,0.17773331701755524,0.009967244230210781,0.012726842425763607,0.178936760403218,0.6487339735031128,0.4720766544342041,0.039070968
Auxiliary (01),p24_02,0.8567932844161987,0.0017629133071750402,27.537690439917878,0.024067964404821396,0.09460959583520889,0.17849941551685333,0.8567932844161987,27.537690439917878,0.0017629133071750402,0.024067964404821396,0.09460959583520889,0.17849941551685333,0.01026735920459032,0.012922356836497784,0.1787427443368068,0.6387677192687988,0.5010457634925842,0.040247325
Auxiliary (01),p24_03,0.7998038530349731,0.004159310832619667,23.80978622831204,0.03691413998603821,0.09665407240390778,0.17202848196029663,0.7998038530349731,23.80978622831204,0.004159310832619667,0.03691413998603821,0.09665407240390778,0.17202848196029663,0.011279646307229996,0.014206521213054657,0.1332461217954288,0.7045953869819641,0.5274798274040222,0.04421547
Auxiliary (01),p24_04,0.8046096563339233,0.005158222280442715,22.874999469809993,0.0390390083193779,0.09734214842319489,0.17589764297008514,0.8046096563339233,22.874999469809993,0.005158222280442715,0.0390390083193779,0.09734214842319489,0.17589764297008514,0.011610401794314384,0.014580396004021168,0.12891954583757043,0.7063733339309692,0.5202829837799072,0.045511886
Auxiliary (01),p24_05,0.882371723651886,0.0015902917366474867,27.98523197695879,0.022381838411092758,0.09110533446073532,0.17346175014972687,0.882371723651886,27.98523197695879,0.0015902917366474867,0.022381838411092758,0.09110533446073532,0.17346175014972687,0.010183481499552727,0.012835155241191387,0.1690684375071974,0.6622040867805481,0.4827935993671417,0.039918546
Auxiliary (01),p25_01,0.8372313380241394,0.001899052644148469,27.21462995902116,0.026776278391480446,0.14795495569705963,0.2481163591146469,0.8372313380241394,27.21462995902116,0.001899052644148469,0.026776278391480446,0.14795495569705963,0.2481163591146469,0.015426862053573132,0.019628796726465225,0.16274704972073217,0.7109338641166687,0.5333086848258972,0.060472183
Auxiliary (01),p25_02,0.8733439445495605,0.0014841826632618904,28.285126457114362,0.023017510771751404,0.1375463902950287,0.22644180059432983,0.8733439445495605,28.285126457114362,0.0014841826632618904,0.023017510771751404,0.1375463902950287,0.22644180059432983,0.013643729500472546,0.01677027903497219,0.14898509178873523,0.7158469557762146,0.5147940516471863,0.05348242
Auxiliary (01),p25_03,0.8511556386947632,0.0017387177795171738,27.597709049122187,0.025122379884123802,0.1396714746952057,0.23000147938728333,0.8511556386947632,27.597709049122187,0.0017387177795171738,0.025122379884123802,0.1396714746952057,0.23000147938728333,0.0138274310156703,0.017353864386677742,0.1618399791461052,0.7254038453102112,0.5272117257118225,0.054202415
